央视,#genre#
上海东方卫视,http://39.135.36.143:18890/000000001000/1000000001000030202/1.m3u8?channel-id=ystenlive&Contentid=1000000001000030202&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000030202&owchid=ystenlive&owsid=1106497909461236159&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaR5IXgk%2b6a%2bY1Viivj30IkCl065X8GSWgqnbGOJH69GYNl9jXWqt3b3Vkm63dGSY%2b5
上海纪实,http://2018.mytvhd.xyz/migu.php?id=618954695
上海频道,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000150.m3u8
上海外语,http://2018.mytvhd.xyz/migu.php?id=618954688
上海新闻综合,http://2018.mytvhd.xyz/migu.php?id=651638663
上海新闻综合高清,http://2018.mytvhd.xyz/migu.php?id=651632657
上海星空卫视,http://218.202.220.2:5000/nn_live.ts?id=STARTV
上海炫动卡通,http://223.110.241.204:6610/gitv/live1/G_XUANDONG/G_XUANDONG/
上海耀才财经台,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8
上海艺术人文,http://2018.mytvhd.xyz/migu.php?id=651632875

卫视,#genre#
湖南卫视高清,http://112.50.243.8/PLTV/88888888/224/3221225827/1.m3u8
江苏卫视高清,http://112.50.243.8/PLTV/88888888/224/3221225847/1.m3u8
浙江卫视高清,http://223.110.243.153/PLTV/3/224/3221227215/index.m3u8
东方卫视高清,http://112.50.243.8/PLTV/88888888/224/3221225828/1.m3u8
北京卫视高清,http://112.50.243.8/PLTV/88888888/224/3221225826/1.m3u8
广东卫视高清,http://112.50.243.8/PLTV/88888888/224/3221225824/1.m3u8
深圳卫视高清,http://112.50.243.8/PLTV/88888888/224/3221225848/1.m3u8
天津卫视高清,http://112.50.243.8/PLTV/88888888/224/3221225830/1.m3u8
安徽卫视高清,http://223.110.243.140/PLTV/3/224/3221225634/index.m3u8
山东卫视高清,http://112.50.243.8/PLTV/88888888/224/3221225843/1.m3u8
湖北卫视高清,http://223.110。243.140/PLTV/3/224/3221227211/index.m3u8
辽宁卫视高清,http://223.110.243.157/PLTV/3/224/3221225566/index.m3u8
重庆卫视高清,http://223.110.243.138/PLTV/3/224/3221227421/index.m3u8
江西卫视高清,http://112.50.243.8/PLTV/88888888/224/3221225868/1.m3u8
河北卫视高清,http://weblive.hebtv.com/live/hbws_bq/index.m3u8
黑龙江卫视高清,http://112.50.243.8/PLTV/88888888/224/3221225862/1.m3u8
四川卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225814/index.m3u8
广西卫视,http://223.110.243.162/PLTV/3/224/3221225554/index.m3u8
河南卫视,http://112.50.243.8/PLTV/88888888/224/3221225842/1.m3u8
山西卫视,http://112.50.243.8/PLTV/88888888/224/3221225839/1.m3u8
东南卫视,http://223.110.243.158/PLTV/3/224/3221225598/index.m3u8
厦门卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221226093/index.m3u8
云南卫视,http://112.50.243.8/PLTV/88888888/224/3221225853/1.m3u8
宁夏卫视,http://223.110.243.166/PLTV/3/224/3221225628/1.m3u8
新疆卫视,http://223.110.243.140/PLTV/3/224/3221225523/index.m3u8
旅游卫视,http://112.50.243.8/PLTV/88888888/224/3221225855/1.m3u8
厦门卫视蓝光,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226781/1.m3u8
河南卫视蓝光,http://116.199.5.52:8114/00000000/index.m3u8?&amp;Fsv_ctype=LIVES&amp;Fsv_otype=1&amp;FvSeid=5abd1660af1babb4&amp;Fsv_filetype=1&amp;Fsv_ctype=LIVES&amp;Fsv_cid=0&amp;Fsv_chan_hls_se_idx=19&amp;Fsv_rate_id=0&amp;Fsv_SV_PARAM1=0&amp;Fsv_ShiftEnable=0&amp;Fsv_ShiftTsp=0&amp;Provider_id=&amp;Pcontent_id=&amp;Fsv_CMSID=&amp;Fsv_otype=1
贵州卫视蓝光,http://116.199.5.52:8114/00000000/index.m3u8?&amp;Fsv_ctype=LIVES&amp;Fsv_otype=1&amp;FvSeid=5abd1660af1babb4&amp;Fsv_filetype=1&amp;Fsv_ctype=LIVES&amp;Fsv_cid=0&amp;Fsv_chan_hls_se_idx=41&amp;Fsv_rate_id=0&amp;Fsv_SV_PARAM1=0&amp;Fsv_ShiftEnable=0&amp;Fsv_ShiftTsp=0&amp;Provider_id=&amp;Pcontent_id=&amp;Fsv_CMSID=&amp;Fsv_otype=1
海南卫视高清,http://112.50.243.8/PLTV/88888888/224/3221225855/1.m3u8
甘肃卫视超清,http://116.199.5.52:8114/00000000/index.m3u8?&amp;Fsv_ctype=LIVES&amp;Fsv_otype=1&amp;FvSeid=5abd1660af1babb4&amp;Fsv_filetype=1&amp;Fsv_ctype=LIVES&amp;Fsv_cid=0&amp;Fsv_chan_hls_se_idx=142&amp;Fsv_rate_id=0&amp;Fsv_SV_PARAM1=0&amp;Fsv_ShiftEnable=0&amp;Fsv_ShiftTsp=0&amp;Provider_id=&amp;Pcontent_id=&amp;Fsv_CMSID=&amp;Fsv_otype=1
云南卫视超清,http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221225838/index.m3u8
陕西卫视高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225896/1.m3u8
宁夏卫视超清,http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221225842/index.m3u8
内蒙卫视超清,http://223.110.245.161/ott.js.chinamobile.com/PLTV/3/224/3221225836/index.m3u8
西藏卫视高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8
山西卫视高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225895/1.m3u8
广西卫视高清,http://112.50.243.8/PLTV/88888888/224/3221225836/1.m3u8
新疆卫视高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225901/1.m3u8
国家地理,http://104.250.154.42:8080/ZZ_hbo/ZZ_hbo.m3u8
百事通台,http://112.17.40.145/PLTV/88888888/224/3221226596/index.m3u8
MTV音乐,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=202&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1

湖北频道,#genre#
湖北公共新闻,http://live.cjyun.org/video/s10008-ggxw2018/index.m3u8
湖北黄冈公共频道,http://huanggang.live.cjyun.org/video/s10120-xwgg.m3u8
湖北黄冈新闻频道,http://huanggang.live.cjyun.org/video/s10120-xwzh.m3u8
湖北嘉鱼新闻综合,http://jiayu.live.tempsource.cjyun.org/videotmp/s10131-jyzh.m3u8
湖北教育,http://live.cjyun.org/video/s10008-jy2018/index.m3u8
湖北经视,http://live.cjyun.org/video/s10008-hbjs2018/index.m3u8
湖北荆州新闻,http://33058.hlsplay.aodianyun.com/guangdianyun_33058/tv_channel_216.m3u8
湖北睛彩武汉频道,http://live.appwuhan.com/8tzb/sd/live.m3u8
湖北来凤综合,http://laifeng.live.cjyun.org/video/s10099-lfzh/index.m3u8
湖北利川公共频道,http://lichuan.live.tempsource.cjyun.org/videotmp/s10093-lcgg.m3u8
湖北利川新闻综合,http://lichuan.live.tempsource.cjyun.org/videotmp/s10093-lczh.m3u8
湖北垄上,http://live.cjyun.org/video/s10008-ls2018s/index.m3u8
湖北罗田旅游,http://luotian.live.cjyun.org/video/s10013-LTLY/index.m3u8
湖北罗田综合,http://luotian.live.cjyun.org/video/s10013-LTZH/index.m3u8
湖北蕲春旅游养生,http://qichun.live.cjyun.org/video/s10126-TC2T/index.m3u8
湖北蕲春综合频道,http://qichun.live.cjyun.org/video/s10126-TC1T/index.m3u8
湖北生活,http://live.cjyun.org/video/s10008-ty2018/index.m3u8
湖北随州农村,http://34766.hlsplay.aodianyun.com/guangdianyun_34766/tv_channel_305.m3u8
湖北随州综合,http://34766.hlsplay.aodianyun.com/guangdianyun_34766/tv_channel_304.m3u8
湖北卫视,http://39.135.36.152:18890/000000001000/6956052407855047826/1.m3u8?channel-id=ystenlive&Contentid=6956052407855047826&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=6956052407855047826&owchid=ystenlive&owsid=1106497909461296919&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5Z%2bo9LRgIMhzyly%2bN8KnqBuGO27GhSxZzEXYI6euRzJ3HshWQhVCNxJrt91pPA8t7cjGpkhpIVoXJ0Jyemr0DA
湖北武汉电视剧,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000004.m3u8
湖北武汉海外频道,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000008.m3u8
湖北武汉教育频道,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000010.m3u8
湖北武汉经济频道,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000006.m3u8
湖北武汉科教生活,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000005.m3u8
湖北武汉少儿频道,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000009.m3u8
湖北武汉文体频道,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000007.m3u8
湖北武汉新闻综合,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000215.m3u8
湖北武穴综合,http://wuxue.live.cjyun.org/video/s10107-wxtv1/index.m3u8
湖北仙桃生活文体,http://36979.hlsplay.aodianyun.com/guangdianyun_36979/tv_channel_510.m3u8
湖北仙桃新闻综合,http://36979.hlsplay.aodianyun.com/guangdianyun_36979/tv_channel_509.m3u8
湖北咸宁综合频道,http://xianning.live.cjyun.org/video/s10140-XNTV-1/index.m3u8
湖北襄阳公共,http://xiangyang.live.cjyun.org/video/s10125-education_hd/index.m3u8
湖北襄阳经济生活,http://xiangyang.live.cjyun.org/video/s10125-society_hd/index.m3u8
湖北襄阳综合,http://xiangyang.live.cjyun.org/video/s10125-news_hd/index.m3u8
湖北孝昌生活频道,http://xiaochang.live.cjyun.org/video/s10128-xcsh/index.m3u8
湖北孝昌新闻党建,http://xiaochang.live.cjyun.org/video/s10128-xcxw/index.m3u8
湖北孝感公共频道,http://xiaogan.live.cjyun.org/video/s10139-shpd/index.m3u8
湖北孝感新闻综合,http://xiaogan.live.cjyun.org/video/s10139-xg/index.m3u8
湖北休闲指南,http://live.cjyun.org/video/s10008-klcz2018/index.m3u8
湖北夷陵综合,http://yiling.live.cjyun.org/video/s10174-TC1T/index.m3u8
湖北影视,http://live.cjyun.org/video/s10008-hbys2018/index.m3u8
湖北应城生活频道,http://yingcheng.live.cjyun.org/video/s10135-YCDJ/index.m3u8
湖北应城新闻综合,http://yingcheng.live.cjyun.org/video/s10135-YCZH/index.m3u8
湖北秭归新闻综合,http://zigui.live.cjyun.org/video/s10111-ZGTV1.m3u8

影视,#genre#
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CHC高清电影,http://ivi.bupt.edu.cn/hls/chchd.m3u8
CHC高清电影,http://125.210.152.18:9090/live/CHCGQDY.m3u8
CHC家庭影院,http://125.210.152.18:9090/live/JTYYHD_H265.m3u8
黑莓电影,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225927/1.m3u8
超级电影,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
广州影视,http://aplay.gztv.com/sec/yingshi.flv
珠江电影,http://116.199.5.58:8114/index.m3u8?3Fsv_chan_hls_se_idx=39&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=&Pcontent_id=.m3u8
动作电影,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226288/1.m3u8#http://baiducdnct.inter.iqiyi.com/tslive/c16_lb_dongzuodianying_1080p_t10/c16_lb_dongzuodianying_1080p_t10.m3u8
